Ejecución,NodosExpandidos,TiempoMs,Exito
"386","24","0,00","True"
"387","21","0,00","True"
"388","20","0,00","True"
"389","20","0,00","True"
"390","19","0,00","True"
"391","19","0,00","True"
"392","21","0,00","True"
"393","20","0,00","True"
"394","19","0,00","True"
"395","22","0,00","True"
"396","20","0,00","True"
"397","21","0,00","True"
"398","20","0,00","True"
"399","25","0,00","True"
"400","21","0,00","True"
"401","19","0,00","True"
"402","47","0,00","True"
"403","19","0,00","True"
"404","24","0,00","True"
"405","22","0,00","True"
"406","23","0,00","True"
"407","28","0,00","True"
"408","30","0,00","True"
"409","22","0,00","True"
"410","22","0,00","True"
"411","24","0,00","True"
"412","29","0,00","True"
"413","20","0,00","True"
"414","21","0,00","True"
"415","21","0,00","True"
"416","20","0,00","True"
"417","20","0,00","True"
"418","21","0,00","True"
"419","24","0,00","True"
"420","25","0,00","True"
"421","25","0,00","True"
"422","22","0,00","True"
"423","25","0,00","True"
"424","20","0,00","True"
"425","22","0,00","True"
"426","20","0,00","True"
"427","21","0,00","True"
"428","19","0,00","True"
"429","21","0,00","True"
"430","21","0,00","True"
"431","25","0,00","True"
"432","22","0,00","True"
"433","19","0,00","True"
"434","23","0,00","True"
"435","23","0,00","True"
"436","22","0,00","True"
"437","27","0,00","True"
"438","20","0,00","True"
"439","20","0,00","True"
"440","19","0,00","True"
"441","22","0,00","True"
"442","24","0,00","True"
"443","20","0,00","True"
"444","20","0,00","True"
"445","24","0,00","True"
"446","26","0,00","True"
"447","21","0,00","True"
"448","20","0,00","True"
"449","20","0,00","True"
"450","21","0,00","True"
"451","23","0,00","True"
"452","22","0,00","True"
"453","22","0,00","True"
"454","22","0,00","True"
"455","22","0,00","True"
"456","19","0,00","True"
"457","25","0,00","True"
"458","24","0,00","True"
"459","20","0,00","True"
"460","23","0,00","True"
"461","22","0,00","True"
"462","20","0,00","True"
"463","23","0,00","True"
"464","20","0,00","True"
"465","24","0,00","True"
"466","19","0,00","True"
"467","22","0,00","True"
"468","20","0,00","True"
"469","25","0,00","True"
"470","22","0,00","True"
"471","21","0,00","True"
"472","22","0,00","True"
"473","21","0,00","True"
"474","27","0,00","True"
"475","20","0,00","True"
"476","23","0,00","True"
"477","20","0,00","True"
"478","27","0,00","True"
"479","21","0,00","True"
"480","20","0,00","True"
"481","22","0,00","True"
"482","28","0,00","True"
"483","23","0,00","True"
"484","20","0,00","True"
"485","20","0,00","True"
"486","21","0,00","True"
"487","26","0,00","True"
"488","20","0,00","True"
"489","22","0,00","True"
"490","20","0,00","True"
"491","20","0,00","True"
"492","20","0,00","True"
"493","28","0,00","True"
"494","21","0,00","True"
"495","20","0,00","True"
"496","21","0,00","True"
"497","22","0,00","True"
"498","20","0,00","True"
"499","24","0,00","True"
"500","21","0,04","True"
